election_id,official_name,election_date,field_key,value,source_url,source_section,confidence,verify_agrees,second_source_url,retrieved
de-st-2026,Landtagswahl Sachsen-Anhalt 2026,2026-09-06,registration,"Voters are entered into the Wählerverzeichnis automatically (von Amts wegen) if they had a registered residence (Hauptwohnung) in the municipality on the Stichtag of 26 July 2026 (42nd day before the election): 'Von Amts wegen sind in das Wählerverzeichnis eines Wahlbezirkes alle Wahlberechtigten einzutragen, die am 26. Juli 2026 (Stichtag = 42. Tag vor der Wahl) eine Wohnung im Sinne des Melderechts innegehabt haben (§ 14 Abs. 2 LWO).' Entry only on application is needed for those not registered for a residence on the Stichtag (e.g. homeless persons / habitual residents without registration), with a strict deadline (Ausschlussfrist): 'Der Antrag ist rechtzeitig gestellt, wenn er bis Sonntag, den 16. August 2026, 24 Uhr, schriftlich bei der zuständigen Gemeinde eingegangen ist.' (sections 4.2 and 4.3.1/4.3.2). Voters may inspect the register (Recht auf Einsicht) from 17 to 21 August 2026: 'Das Wählerverzeichnis ist von der Gemeinde vom 17. bis 21. August 2026 (20. bis zum 16. Tag vor der Wahl) ... zur Einsichtnahme bereitzuhalten' (section 4.5.2).",https://wahlen.sachsen-anhalt.de/fileadmin/Bibliothek/Politik_und_Verwaltung/MI/wahlen/PDF/2026-04-01_Durchfuehrungserlass_Landtagswahl.pdf,4.2 Eintragung Wahlberechtigter in das Wählerverzeichnis von Amts wegen; 4.3 Eintragung von Wahlberechtigten auf Antrag; 4.5 Recht auf Einsicht in das Wählerverzeichnis,high,confirms,https://www.bundeswahlleiterin.de/service/glossar/w/waehlerverzeichnis.html,2026-05-29
de-st-2026,Landtagswahl Sachsen-Anhalt 2026,2026-09-06,postal_return,"The postal ballot (Wahlbrief) must be PHYSICALLY RECEIVED by the close of polls at 18:00 on election day (6 September 2026); a postmark is NOT sufficient. Wahlbriefe arriving after 18:00 are taken in but marked with date and time of arrival and are not admitted/counted: 'Die am Wahltag nach 18 Uhr eingegangenen Wahlbriefe sind von der Gemeinde ebenfalls in Empfang zu nehmen. Sie vermerkt auf jedem am Wahltag nach 18 Uhr eingegangenen Wahlbrief Tag und Uhrzeit des Eingangs ... Anschließend sind diese Wahlbriefe ungeöffnet zu verpacken ... bis die Vernichtung der Wahlbriefe zugelassen ist (§ 66 LWO).' (section 10.3.4). Municipalities must keep receipt capability open 'bis zum Ende der Wahlzeit am Sonntag, 18 Uhr' (section 10.3.3). The Landeswahlleiterin FAQ guidance likewise states: 'Briefwahlunterlagen müssen am Wahltag bis spätestens 18:00 Uhr beim Wahlamt eingegangen sein.'",https://wahlen.sachsen-anhalt.de/fileadmin/Bibliothek/Politik_und_Verwaltung/MI/wahlen/PDF/2026-04-01_Durchfuehrungserlass_Landtagswahl.pdf,10.3.3 / 10.3.4 Behandlung der Wahlbriefe,high,confirms,https://www.magdeburg.de/wahlen,2026-05-29
de-st-2026,Landtagswahl Sachsen-Anhalt 2026,2026-09-06,polling_hours,"18:00 (polls open 08:00 to 18:00 on Sunday 6 September 2026): 'Die Wahl ... findet am Sonntag, dem 6. September 2026, in der Zeit von 8 bis 18 Uhr statt.' Confirmed identically on the Landeswahlleiterin FAQ page: 'Die Wahllokale sind an diesem Tag von 8:00 bis 18:00 Uhr geöffnet.'",https://wahlen.sachsen-anhalt.de/fileadmin/Bibliothek/Politik_und_Verwaltung/MI/wahlen/PDF/2026-04-01_Durchfuehrungserlass_Landtagswahl.pdf,"Durchführungserlass, introductory paragraph (Wahlzeit); cross-confirmed at FAQs zur Landtagswahl 2026",high,confirms,https://wahlen.sachsen-anhalt.de/zu-den-wahlen/landtagswahl/faqs-zur-landtagswahl-2026,2026-05-29
de-st-2026,Landtagswahl Sachsen-Anhalt 2026,2026-09-06,voter_id,"For in-person voting, presentation of the Wahlbenachrichtigung (polling notification card) is normally sufficient together with being listed in the Wählerverzeichnis: 'Hierzu genügt grundsätzlich die Vorlage der Wahlbenachrichtigung und die Feststellung, dass der Wähler im Wählerverzeichnis eingetragen ist.' If the Wahlbenachrichtigung is not presented (e.g. forgotten) or there are doubts about identity, the voter must identify themselves by other means, enabling a face comparison with the photo of 'des Personalausweises, Reisepasses oder eines amtlichen Lichtbilddokumentes, z. B. Führerschein' (i.e. ID card, passport, or other official photo ID such as a driving licence). Holders of a Wahlschein must identify themselves and hand over the Wahlschein: 'Inhaber von Wahlscheinen haben sich auszuweisen und den Wahlschein dem Wahlvorsteher zu übergeben.' (section 14.2.2).",https://wahlen.sachsen-anhalt.de/fileadmin/Bibliothek/Politik_und_Verwaltung/MI/wahlen/PDF/2026-04-01_Durchfuehrungserlass_Landtagswahl.pdf,14.2.2 Stimmabgabe / Identitätsprüfung des Wählers,high,confirms,https://www.bundeswahlleiterin.de/service/glossar/w/wahlbenachrichtigung.html,2026-05-29
fi-2027,Finnish parliamentary election (Eduskuntavaalit) 2027,2027-04-18,eligibility,"Every Finnish citizen who has reached the age of 18 not later than on the day of the election is entitled to vote in parliamentary elections. Requirements: Finnish citizenship and age 18 by election day (2027-04-18); applies regardless of domicile (no residency requirement, Finnish citizens living abroad may also vote).",https://vaalit.fi/en/right-to-vote-and-compilation-of-the-voting-register1,Right to Vote and Compilation of the Voting Register (Parliamentary Elections),high,confirms,https://www.suomi.fi/citizen/rights-and-obligations/fundamental-rights-and-civic-activity/guide/voting/voting-in-parliamentary-elections,2026-05-29
fi-2027,Finnish parliamentary election (Eduskuntavaalit) 2027,2027-04-18,advance_domestic,7-13 April 2027 (advance voting in Finland),https://vaalit.fi/en/schedule-in-the-parliamentary-elections,Schedule in the Parliamentary Elections - Advance voting,high,confirms,https://suomalaisetvaalit.fi/eduskuntavaalit2027/,2026-05-29
fi-2027,Finnish parliamentary election (Eduskuntavaalit) 2027,2027-04-18,advance_abroad,7-10 April 2027 (advance voting abroad - shorter than domestic window of 7-13 April),https://vaalit.fi/en/schedule-in-the-parliamentary-elections,Schedule in the Parliamentary Elections - Advance voting,high,confirms,https://vaalit.fi/aanestaminen-ulkomailla,2026-05-29
fi-2027,Finnish parliamentary election (Eduskuntavaalit) 2027,2027-04-18,polling_hours,"8 p.m. (20:00). ""On election day the polling stations are open between 9 a.m. and 8 p.m."" Election day is Sunday 18 April 2027.",https://vaalit.fi/en/voting-on-election-day,Voting on Election Day,high,confirms,https://www.jyvaskyla.fi/en/decision-making-and-administration/elections-jyvaskyla/county-and-municipal-elections-2025,2026-05-29
br-2026,Brazilian general election 2026 (Eleicoes Gerais),2026-10-04,compulsory,"Voting is compulsory (mandatory). Per the TSE: ""Enrollment and voting in Brazil are mandatory for all citizens, native or naturalized, literate, aged between 18 and 70 years old. Voting is optional for youngsters aged between 16 and 17, for those who are older than 70, and for the illiterate."" So: mandatory for ages 18-70 (literate); optional for ages 16-17, for those over 70, and for the illiterate. The TSE voter-registration page confirms enrollment is ""optionally at 16 and obligatorily at 18."" These thresholds are set by the Federal Constitution / Electoral Code (permanent law) and apply to the 2026 election.",https://international.tse.jus.br/en/assuntos-internacionais/guia-pratico-para-pessoas-estrangeiras_ingles_digital-1.pdf,Section 1.1 Overview of the Brazilian Elections - 'Is voting mandatory? Who must vote?' (p.10); corroborated by TSE 'Voter Registration' page (international.tse.jus.br/en/elections/voter-registration),high,confirms,https://en.wikipedia.org/wiki/Elections_in_Brazil,2026-05-29
br-2026,Brazilian general election 2026 (Eleicoes Gerais),2026-10-04,polling_hours,"8:00 to 17:00 (8 a.m. to 5 p.m.). Per official TSE 2026 news: ""A votacao comecara as 8h e terminara as 17h, sendo a votacao uniformizada pelo horario de Brasilia em todos os estados e no Distrito Federal"" (voting begins at 8 a.m. and ends at 5 p.m., standardized to Brasilia time across all states and the Federal District). Abroad, voting runs 8 a.m. to 5 p.m. in each local time zone.",https://www.tse.jus.br/comunicacao/noticias/2026/Marco/eleicoes-2026-confira-as-principais-datas-do-calendario-eleitoral,TSE news 'Eleicoes 2026: confira as principais datas do calendario eleitoral' (horario de votacao); corroborated for abroad by 2022 Practical Guide 'What are the voting hours?' (p.10),high,confirms,https://www.tre-pr.jus.br/comunicacao/noticias/2026/Marco/eleicoes-2026-confira-as-principais-datas-do-calendario-eleitoral,2026-05-29
